"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.820857990E-1,-1.028913707E-1,-5.024927482E-2,9.870393753E0,9.871057920E0
4.844720490E-1,-9.092725813E-2,-3.828516230E-2,9.863214493E0,9.863707906E0
4.868582990E-1,-7.657032460E-2,-4.546362907E-2,9.865608215E0,9.866010106E0
4.892446020E-1,-8.374879509E-2,-5.264209956E-2,9.870393753E0,9.870889417E0
4.916308520E-1,-9.810572863E-2,-5.024927482E-2,9.884750366E0,9.885364916E0
4.940171020E-1,-8.614161611E-2,-4.067798331E-2,9.868000984E0,9.868460797E0
4.964033520E-1,-8.374879509E-2,-4.785645381E-2,9.875179291E0,9.875650365E0
4.987896540E-1,-8.614161611E-2,-5.742774159E-2,9.872786522E0,9.873329329E0
5.011759040E-1,-7.896314561E-2,-4.785645381E-2,9.865608215E0,9.866040284E0
5.035621540E-1,-8.614161611E-2,-4.785645381E-2,9.870393753E0,9.870885647E0
5.059484040E-1,-9.092725813E-2,-5.742774159E-2,9.870393753E0,9.870979615E0
5.083346540E-1,-8.374879509E-2,-5.264209956E-2,9.879964828E0,9.880460013E0
5.107209560E-1,-9.332008660E-2,-5.503492057E-2,9.860821724E0,9.861416863E0
5.131072060E-1,-8.853443712E-2,-5.503492057E-2,9.858428955E0,9.858980102E0
5.154934560E-1,-8.374879509E-2,-4.067798331E-2,9.872786522E0,9.873225525E0
5.178797060E-1,-8.135596663E-2,-3.349951655E-2,9.865608215E0,9.866000531E0
5.202660080E-1,-1.052841991E-1,-4.546362907E-2,9.863214493E0,9.863881175E0
5.226522580E-1,-8.853443712E-2,-3.828516230E-2,9.863214493E0,9.863686138E0
5.250385080E-1,-9.092725813E-2,-3.828516230E-2,9.875179291E0,9.875672106E0
5.274247580E-1,-9.092725813E-2,-4.785645381E-2,9.870393753E0,9.870928571E0
5.298110600E-1,-7.657032460E-2,-4.546362907E-2,9.877572060E0,9.877973464E0
5.321973100E-1,-8.135596663E-2,-4.785645381E-2,9.872786522E0,9.873237703E0
5.345835600E-1,-7.896314561E-2,-2.392822690E-2,9.875179291E0,9.875523974E0
5.369698100E-1,-9.571290761E-2,-2.632104978E-2,9.858428955E0,9.858928706E0
