"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.191993840E-1,-7.896314561E-2,-9.571290761E-2,9.791430473E0,9.792216647E0
3.215851650E-1,-7.657032460E-2,-1.004985496E-1,9.793823242E0,9.794638159E0
3.239709470E-1,-9.332008660E-2,-1.196411327E-1,9.803394318E0,9.804568465E0
3.263567280E-1,-8.853443712E-2,-1.316052526E-1,9.812965393E0,9.814247200E0
3.287425090E-1,-1.028913707E-1,-1.387837082E-1,9.841679573E0,9.843195841E0
3.311282900E-1,-1.004985496E-1,-1.483550072E-1,9.856036186E0,9.857664960E0
3.335140720E-1,-1.052841991E-1,-1.363908947E-1,9.868000984E0,9.869505087E0
3.358998530E-1,-9.092725813E-2,-1.339980662E-1,9.901499748E0,9.902823866E0
3.382856340E-1,-9.092725813E-2,-1.268195957E-1,9.937392235E0,9.938617379E0
3.406714150E-1,-9.571290761E-2,-1.435693651E-1,9.985248566E0,9.986739310E0
3.430571970E-1,-8.135596663E-2,-1.316052526E-1,1.000199890E1,1.000319553E1
3.454429780E-1,-7.657032460E-2,-1.268195957E-1,1.002114105E1,1.002223599E1
3.478287590E-1,-9.810572863E-2,-1.435693651E-1,1.001635551E1,1.001786478E1
3.502145400E-1,-1.028913707E-1,-1.603191197E-1,1.000199890E1,1.000381282E1
3.526003220E-1,-1.004985496E-1,-1.483550072E-1,1.000917721E1,1.001078107E1
3.549861030E-1,-9.810572863E-2,-1.220339537E-1,9.980463028E0,9.981691203E0
3.573718840E-1,-1.076770201E-1,-1.387837082E-1,9.970891953E0,9.972439099E0
3.597576130E-1,-9.810572863E-2,-1.316052526E-1,9.970891953E0,9.972243028E0
3.621434470E-1,-1.028913707E-1,-1.411765367E-1,9.956535339E0,9.958067755E0
3.645291760E-1,-7.896314561E-2,-1.555334777E-1,9.963713646E0,9.965240361E0
3.669149570E-1,-7.657032460E-2,-1.722832322E-1,9.992427826E0,9.994206241E0
3.693007380E-1,-8.135596663E-2,-1.674975902E-1,1.000439167E1,1.000612447E1
3.716865190E-1,-9.571290761E-2,-1.483550072E-1,1.002831936E1,1.002987335E1
3.740723010E-1,-7.896314561E-2,-1.459621787E-1,1.004985523E1,1.005122531E1
3.764580820E-1,-6.939185411E-2,-1.531406492E-1,1.004985523E1,1.005126149E1
